,date,closing,adjusted,evolution,quantity,volume
417,05/04/2021,56.0,42.0,-1.25,1021.0,57176.0
418,02/04/2021,56.71,42.54,-2.06,10130.0,574472.3
419,01/04/2021,57.9,43.43,1.58,38.0,2170.5
420,31/03/2021,57.0,42.75,0.0,7482.0,427094.29
421,30/03/2021,57.0,42.75,0.88,14597.0,820699.6
422,29/03/2021,56.5,42.38,-0.46,191.0,10772.21
423,26/03/2021,56.76,42.57,1.18,106.0,5931.25
424,25/03/2021,56.1,42.08,-1.58,1082.0,60936.32
425,24/03/2021,57.0,42.75,3.52,13030.0,745402.54
426,23/03/2021,55.06,41.3,3.98,2805.0,154443.3
427,22/03/2021,52.95,39.72,3.99,1483.0,78524.85
428,19/03/2021,50.92,38.19,3.98,1744.0,88804.48
429,18/03/2021,48.97,36.73,0.0,0.0,0.0
430,17/03/2021,48.97,36.73,0.0,0.0,0.0
431,16/03/2021,48.97,36.73,0.0,0.0,0.0
432,15/03/2021,48.97,36.73,2.02,45.0,2107.25
433,12/03/2021,48.0,36.0,-1.13,219.0,10512.0
434,11/03/2021,48.55,36.42,0.0,95.0,4612.25
435,10/03/2021,48.55,36.42,0.0,0.0,0.0
436,09/03/2021,48.55,36.42,-0.84,16761.0,804542.73
437,08/03/2021,48.96,36.72,2.0,1142.0,54823.11
438,05/03/2021,48.0,36.0,-2.02,579.0,27792.0
439,04/03/2021,48.99,36.75,2.06,5.0,244.95
440,03/03/2021,48.0,36.0,-2.02,148.0,7104.0
441,02/03/2021,48.99,36.75,-0.04,2928.0,140548.95
442,01/03/2021,49.01,36.76,0.02,420.0,20580.35
443,26/02/2021,49.0,36.75,2.53,6692.0,327908.0
444,25/02/2021,47.79,35.85,1.68,15406.0,725007.07
445,24/02/2021,47.0,35.25,-1.82,4059.0,191671.76
446,23/02/2021,47.87,35.91,1.85,5.0,239.35
447,22/02/2021,47.0,35.25,-2.23,310.0,14570.0
448,19/02/2021,48.07,36.06,2.17,1306.0,61388.4
449,18/02/2021,47.05,35.29,-2.79,90.0,4230.98
450,17/02/2021,48.4,36.3,0.0,0.0,0.0
451,16/02/2021,48.4,36.3,-0.21,1187.0,57571.26
452,15/02/2021,48.5,36.38,1.59,637.0,30919.5
453,12/02/2021,47.74,35.81,-0.21,1500.0,71610.0
454,11/02/2021,47.84,35.88,-0.08,124.0,5777.25
455,10/02/2021,47.88,35.91,-0.02,771.0,36365.56
456,09/02/2021,47.89,35.92,-0.23,203.0,9741.48
457,08/02/2021,48.0,36.0,1.29,449.0,21568.74
458,05/02/2021,47.39,35.55,1.15,2409.0,113234.32
459,04/02/2021,46.85,35.14,0.75,346.0,16096.2
